series,issue_number,reason
Uncanny X-Men,141,no_image
Amaziseries,issue_number,no_volume
Uncanny X-Men,101,no_image
Uncanny X-Men,129,no_image
Uncanny X-Men,141,no_image
Uncanny X-Men,94,no_image
Uncanny X-Men,120,no_image
Uncanny X-Men,130,no_image
Uncanny X-Men,134,no_image
Wolverine (1988),1,no_image
Wolverine (1988),10,no_image
New Mutants,98,no_image
Amazing Spider-Man,129,no_image
Amazing Spider-Man,252,no_image
Amazing Spider-Man,300,no_image
Amazing Spider-Man,361,no_image
Amazing Spider-Man,194,no_image
Amazing Spider-Man,238,no_image
Incredible Hulk,180,no_image
Incredible Hulk,181,no_image
Incredible Hulk,340,no_image
Thor (Journey into Mystery),83,no_image
Doctor Strange,169,no_image
Tales of Suspense,39,no_image
Amazing Fantasy,15,no_image
ng Spider-Man,129,no_image
Amazing Spider-Man,300,no_image
Amazing Spider-Man,361,no_image
Incredible Hulk,181,no_image
Incredible Hulk,180,no_image
New Mutants,98,no_image
Wolverine (1988),1,no_image
Thor (Journey into Mystery),83,no_image
series,issue_number,no_image
Amazing Spider-Man,50,no_image
Amazing Spider-Man,121,no_image
Amazing Spider-Man,122,no_image
Amazing Spider-Man,238,no_image
Amazing Spider-Man,252,no_image
Amazing Spider-Man,316,no_image
Uncanny X-Men,12,no_image
Uncanny X-Men,14,no_image
Uncanny X-Men,94,no_image
Uncanny X-Men,101,no_image
Uncanny X-Men,133,no_image
Uncanny X-Men,137,no_image
New Mutants,87,no_image
Avengers,500,no_image
Incredible Hulk,1,no_image
Incredible Hulk,271,no_image
Incredible Hulk,340,no_image
Thor (Journey into Mystery),83,no_image
Thor,411,no_image
Thor,412,no_image
Doctor Strange,169,no_image
Doctor Strange,178,no_image
Doctor Strange,381,no_image
Infinity Gauntlet,6,no_image
Defenders,1,no_image
Captain Marvel (2014),14,no_image
